case_id,language,category,author_provider,judge_provider,judge_model,judge_snapshot,replica,timestamp_utc,latency_s,n_palabras_just,correccion,especificidad,explicacion,utilidad,comentario,error
CASE_CODE_JAVA_045,Java,identico,openai,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T15:49:35Z,6.043,18,95.0,15.0,25.0,35.0,"Todo lo afirmado es cierto (los archivos son byte a byte iguales), pero el texto no cita ni un solo elemento concreto (bucle for, contadorPares, Scanner, mismo package/clase) y solo enuncia la conclusion sin mostrar la comprobacion que la sustenta.",
CASE_CODE_CS_003,C#,estructural,anthropic,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T15:49:43Z,58.249,99,100.0,70.0,20.0,55.0,No se detectan afirmaciones falsas; todas las aseveraciones sobre el código son correctas.,
CASE_CODE_JAVA_041,Java,identico,anthropic,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T15:50:42Z,6.142,48,100.0,25.0,55.0,65.0,No detecto afirmaciones falsas; el texto es correcto pero muy general y no cita elementos concretos del código.,
CASE_CODE_CS_015,C#,estructural,deepseek,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T15:50:52Z,10.773,52,55.0,8.0,25.0,18.0,"La aritmética ponderada es correcta (42), pero las puntuaciones parciales se dan por supuestas sin evidencia del código, y calificar de 'notable similitud estructural' (75) a un par donde B usa interfaces, Dictionary, excepciones y polimorfismo frente a las clases planas de A resulta poco sostenible",
CASE_CODE_CS_056,C#,diferente,openai,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T15:51:04Z,5.534,53,92.0,40.0,45.0,45.0,"Todas las afirmaciones son verificables (A es lineal y procedural; B es modular y OO), pero el texto se queda en caracterizaciones generales sin citar elementos concretos como List<double>/promedio frente a Dictionary<int,Libro>, Queue, LINQ, clase Libro o el menú con switch, y no explica el criteri",
CASE_CODE_CS_023,C#,estructural,anthropic,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T15:51:11Z,38.783,88,20.0,40.0,50.0,60.0,"Las puntuaciones numéricas (28, 93, 62, 95) y el cálculo ponderado presentados no son verificables a partir de los archivos de código y carecen de justificación; constituyen una afirmación no fundamentada.",
CASE_CODE_CS_018,C#,funcional,deepseek,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T15:51:51Z,9.05,74,100.0,10.0,20.0,20.0,"El texto es correcto en sus conclusiones pero extremadamente genérico; no menciona ningún detalle específico de los códigos, como el cálculo del IMC o la extracción de métodos.",
CASE_CODE_CS_015,C#,estructural,openai,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T15:52:01Z,10.754,49,55.0,25.0,18.0,20.0,"Las afirmaciones generales (mismo lenguaje, apps de consola con clases gestoras, dominios distintos) son ciertas, pero la aritmética no cuadra: unos 'pesos' de 35+58+40+72 (205%) no pueden dar 46/100 y ninguna cifra se justifica con evidencia del código (interfaces, Dictionary, pattern matching, LIN",
CASE_CODE_JAVA_039,Java,estructural,anthropic,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T15:52:13Z,9.931,65,85.0,65.0,50.0,55.0,"Las afirmaciones principales son correctas, pero las subpuntuaciones usadas en la ponderación no se justifican con evidencias concretas de los archivos.",
CASE_CODE_JAVA_045,Java,identico,deepseek,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T15:52:25Z,4.615,37,100.0,25.0,65.0,70.0,"No detecto afirmaciones falsas; el texto es correcto, pero muy genérico y no menciona elementos concretos del código.",
CASE_CODE_JAVA_024,Java,diferente,anthropic,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T15:52:32Z,9.819,64,72.0,82.0,58.0,64.0,"La comparación funcional y arquitectónica es correcta, pero las puntuaciones ponderadas y la referencia a convenciones de estilo del autor no son verificables a partir de los archivos.",
CASE_CODE_CS_033,C#,identico,anthropic,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T15:52:43Z,31.445,59,100.0,0.0,10.0,80.0,"La afirmación de que son copias exactas es correcta, pero el texto es genérico, no menciona ningún elemento concreto de los archivos ni desarrolla un razonamiento; solo enuncia el veredicto.",
CASE_CODE_CS_003,C#,estructural,openai,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T15:53:15Z,36.166,39,100.0,25.0,30.0,40.0,"No hay afirmaciones falsas, pero el texto es muy genérico y no menciona ningún elemento concreto de los archivos.",
CASE_CODE_CS_003,C#,estructural,gemini,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T15:53:52Z,10.12,74,75.0,18.0,32.0,28.0,"La aritmética ponderada es correcta y la caracterización global (misma estructura/estilo, dominio distinto) es cierta, pero no cita ni un solo elemento concreto (clases Estudiante/Empleado, MostrarDatos, CalcularBono, ReadKey/ReadLine) que justifique los valores 30/90/40/95.",
CASE_CODE_CS_003,C#,estructural,anthropic,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T15:54:04Z,7.405,99,92.0,72.0,63.0,68.0,"Las afirmaciones principales son correctas, aunque los puntajes por dimensión se presentan sin justificar con detalle cómo se obtuvieron.",
CASE_CODE_CS_024,C#,diferente,deepseek,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T15:54:13Z,9.214,60,85.0,25.0,50.0,45.0,"Las afirmaciones son en general correctas, aunque 'nula coincidencia funcional' es algo absoluto porque ambos comparten interacción básica por consola; falta mencionar elementos concretos como el conversor de temperatura y el quiz.",
CASE_CODE_JAVA_022,Java,funcional,gemini,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T15:54:24Z,46.565,64,20.0,5.0,0.0,0.0,Los puntajes numéricos no están respaldados por los archivos y parecen inventados; las afirmaciones cualitativas son genéricas y carecen de razonamiento.,
CASE_CODE_JAVA_003,Java,estructural,openai,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T15:55:12Z,45.211,34,100.0,30.0,75.0,90.0,Todas las afirmaciones son verificables en los archivos; no se detectan falsedades.,
CASE_CODE_CS_023,C#,estructural,anthropic,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T15:55:58Z,10.163,88,100.0,15.0,60.0,45.0,"Acierta en el diagnóstico de similitud estructural frente a divergencia funcional, pero carece por completo de referencias específicas al código (como mencionar temperatura o descuentos).",
CASE_CODE_CS_057,C#,identico,openai,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T15:56:09Z,11.671,20,100.0,0.0,0.0,0.0,"Correcto porque los archivos son idénticos, pero extremadamente genérico y sin razonamiento alguno.",
CASE_CODE_CS_010,C#,funcional,gemini,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T15:56:22Z,10.037,82,45.0,25.0,20.0,25.0,"Afirma que el comportamiento es idéntico y que hubo cambios deliberados, pero la salida/formato no es idéntica y la intención no es verificable; además, los subpuntajes no se justifican con evidencias concretas del código.",
CASE_CODE_CS_058,C#,funcional,anthropic,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T15:56:34Z,38.402,80,75.0,85.0,60.0,55.0,"Las descripciones cualitativas sobre los códigos son exactas, pero los puntajes numéricos de similitud (96, 48, 66, 57) no son verificables a partir de los archivos y parecen inventados para la argumentación.",
CASE_CODE_JAVA_045,Java,identico,gemini,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T15:57:13Z,6.859,36,100.0,25.0,30.0,50.0,"El veredicto es correcto, pero la justificación no cita elementos concretos del código ni muestra la comparación.",
CASE_CODE_CS_023,C#,estructural,openai,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T15:57:22Z,6.982,51,78.0,8.0,28.0,22.0,"Las afirmaciones generales (estructura/estilo similares, dominio y funcionalidad distintos) son ciertas, pero el texto no cita ni un solo elemento concreto de los archivos (cadena if/else if/else con return, Convert.ToDouble/ToInt32, interpolación con :F2, umbrales 100/0 vs 500000/50000) y alude a u",
CASE_CODE_CS_032,C#,diferente,anthropic,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T15:57:31Z,8.396,66,78.0,55.0,35.0,45.0,"La comparación general es correcta, pero la ponderación indicada no da ≈21 sino 19.2, y no se justifican los puntajes parciales.",
CASE_CODE_CS_023,C#,estructural,openai,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T15:57:41Z,9.779,51,100.0,10.0,20.0,20.0,El texto es extremadamente genérico; acierta en sus afirmaciones generales pero no menciona ningún detalle concreto de los códigos (como el uso de if-else o los dominios específicos).,
CASE_CODE_JAVA_044,Java,diferente,openai,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T15:57:52Z,11.321,48,100.0,10.0,40.0,20.0,El texto es correcto pero extremadamente genérico; podría aplicarse a casi cualquier par de programas de consola en Java con propósitos distintos.,
CASE_CODE_CS_041,C#,identico,deepseek,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T15:58:04Z,6.827,41,96.0,15.0,45.0,50.0,"Las afirmaciones son verdaderas (los archivos son byte a byte iguales), pero el texto no menciona ningún elemento concreto de estos códigos (menú de figuras, fórmulas de área, umbral de 100) y solo enuncia el resultado del promedio ponderado sin mostrar evidencia.",
CASE_CODE_CS_041,C#,identico,gemini,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T15:58:12Z,6.454,46,96.0,12.0,35.0,45.0,"Las afirmaciones son verdaderas (los archivos son efectivamente idénticos carácter por carácter), pero el texto no menciona ni un solo elemento concreto de estos códigos (menú de figuras, cadena if/else if, fórmula 3.14159*radio*radio, umbral area>100), por lo que serviría igual para cualquier par d",
CASE_CODE_JAVA_044,Java,diferente,deepseek,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T15:58:20Z,9.098,60,80.0,15.0,30.0,30.0,"La aritmética ponderada es correcta y la afirmación general (propósitos distintos, solo comparten Scanner y sintaxis básica de Java) es cierta, pero no menciona ni un solo elemento concreto (promedio de notas vs. HashMap de libros, menú con switch, etc.) ni justifica de dónde salen los valores 0/15/",
CASE_CODE_JAVA_003,Java,estructural,deepseek,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T15:58:30Z,12.189,59,100.0,20.0,40.0,40.0,"Afirma correctamente que las diferencias radican solo en identificadores y literales, pero carece de especificidad al no mencionar ningún ejemplo concreto del código.",
CASE_CODE_CS_056,C#,diferente,deepseek,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T15:58:44Z,14.645,56,45.0,8.0,35.0,22.0,"Solo opera con puntajes abstractos sin citar ni un elemento real de los archivos (List/foreach vs. clases, Dictionary, Queue, LINQ), y es internamente inconsistente: para que el ponderado dé 30 con 2 + 13.5, las dimensiones léxica y estilística deben aportar ~14.5 de 30 posibles, es decir afinidad m",
CASE_CODE_JAVA_030,Java,funcional,deepseek,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T15:59:00Z,9.101,50,80.0,20.0,35.0,35.0,"Las afirmaciones generales son plausibles, pero los porcentajes exactos no se justifican con evidencias concretas del código.",
CASE_CODE_JAVA_041,Java,identico,openai,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T15:59:11Z,34.725,19,100.0,0.0,0.0,0.0,"La afirmación es correcta, pero el texto no señala ningún elemento concreto de los archivos ni razona por qué son idénticos.",
CASE_CODE_JAVA_039,Java,estructural,deepseek,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T15:59:46Z,12.314,76,72.0,45.0,48.0,50.0,"La aritmética de la ponderación es correcta y la descripción general (misma plantilla de transposición con cambio de tipos y contexto) es verificable, pero afirmar 'Funcional 100' y 'coincidencia muy alta en todos los aspectos' es discutible dado que B opera con String, imprime con tabuladores y pro",
CASE_CODE_CS_023,C#,estructural,anthropic,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T16:00:01Z,10.497,88,78.0,42.0,35.0,45.0,"La valoración general es plausible, pero los puntajes parciales no se justifican con evidencias concretas y 'idéntica sintaxis' es una exageración.",
CASE_CODE_JAVA_044,Java,diferente,deepseek,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T16:00:13Z,8.904,60,85.0,25.0,30.0,35.0,"Las afirmaciones generales son mayormente verdaderas, pero el texto no justifica con evidencias concretas de los archivos por qué asigna 0, 15, 20 y 70.",
CASE_CODE_JAVA_030,Java,funcional,deepseek,gemini,gemini-3.1-pro-preview,,1,2026-08-01T16:00:23Z,,50,,,,,,HTTP Error 503: Service Unavailable
CASE_CODE_CS_058,C#,funcional,openai,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T16:00:25Z,8.66,50,100.0,25.0,50.0,45.0,"El texto es correcto en sus afirmaciones, pero sumamente genérico; no menciona detalles concretos como el cálculo manual vs LINQ, listas vs arreglos, ni el dominio del problema.",
CASE_CODE_JAVA_041,Java,identico,gemini,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T16:00:35Z,17.057,35,100.0,0.0,0.0,0.0,"La afirmación de que los fragmentos son idénticos es correcta, pero el texto no señala ningún detalle concreto de los archivos ni ofrece razonamiento alguno, limitándose a enunciar el veredicto.",
CASE_CODE_CS_033,C#,identico,openai,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T16:00:53Z,8.304,16,100.0,0.0,0.0,0.0,El texto es completamente genérico y carece de cualquier explicación o referencia específica a los elementos del código.,
CASE_CODE_CS_041,C#,identico,deepseek,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T16:01:02Z,7.914,41,100.0,0.0,40.0,60.0,El texto es correcto pero completamente genérico; podría usarse para cualquier par de archivos idénticos sin cambiar una coma.,
CASE_CODE_JAVA_060,Java,diferente,openai,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T16:01:11Z,10.151,43,100.0,10.0,10.0,10.0,El texto es extremadamente genérico; enuncia que hay diferencias en propósito y estructura pero no explica cuáles son ni menciona detalles concretos de los códigos.,
CASE_CODE_CS_033,C#,identico,deepseek,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T16:01:22Z,8.5,26,100.0,15.0,30.0,40.0,"La afirmación de identidad total es verificable y correcta, pero el texto no cita ningún elemento concreto (listas, bucle de 3 iteraciones, umbral 7.0) ni justifica cómo se comprobó la equivalencia, por lo que serviría igual para cualquier par de archivos idénticos.",
CASE_CODE_CS_015,C#,estructural,deepseek,gemini,gemini-3.1-pro-preview,,1,2026-08-01T16:01:32Z,,52,,,,,,HTTP Error 503: Service Unavailable
CASE_CODE_JAVA_001,Java,identico,openai,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T16:01:34Z,11.38,20,100.0,10.0,0.0,0.0,"Afirmación correcta pero genérica, sin justificación ni referencia a elementos concretos del código.",
CASE_CODE_JAVA_019,Java,estructural,deepseek,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T16:01:46Z,8.834,80,70.0,18.0,38.0,33.0,"La aritmética de la ponderación es correcta y las afirmaciones generales (alta similitud estructural, divergencia léxica, estilo casi idéntico) son ciertas, pero las puntuaciones parciales se dan sin justificación y no se cita ningún elemento concreto (split, for-each, Integer.parseInt, umbrales 5 v",
CASE_CODE_JAVA_030,Java,funcional,anthropic,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T16:01:57Z,14.032,78,90.0,78.0,68.0,72.0,"No detecto afirmaciones claramente falsas, aunque las puntuaciones parciales se enuncian sin justificar cómo se obtuvieron.",
CASE_CODE_JAVA_034,Java,funcional,anthropic,gemini,gemini-3.1-pro-preview,,1,2026-08-01T16:02:12Z,,79,,,,,,HTTP Error 503: Service Unavailable
CASE_CODE_JAVA_044,Java,diferente,deepseek,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T16:02:14Z,10.204,60,100.0,10.0,20.0,20.0,"El texto es extremadamente genérico y carece de referencias concretas a los dominios de los códigos (notas vs biblioteca), limitándose a enunciar una conclusión general.",
CASE_CODE_JAVA_039,Java,estructural,deepseek,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T16:02:25Z,9.12,76,80.0,45.0,40.0,50.0,"No hay una afirmación técnica claramente falsa sobre los programas, pero las puntuaciones parciales 100/100/85/100 se presentan sin evidencia concreta verificable en los archivos.",
CASE_CODE_JAVA_034,Java,funcional,anthropic,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T16:02:36Z,32.463,79,100.0,85.0,70.0,80.0,No se detectan afirmaciones falsas.,
CASE_CODE_JAVA_039,Java,estructural,deepseek,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T16:03:09Z,8.511,76,100.0,85.0,75.0,80.0,"El texto identifica correctamente la operación principal (transposición de matrices) y las diferencias (tipos de datos y contexto), aunque podría detallar más los elementos léxicos que cambian.",
CASE_CODE_JAVA_022,Java,funcional,gemini,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T16:03:19Z,10.194,64,85.0,25.0,30.0,33.0,"Las afirmaciones verificables (equivalencia funcional de la salida y refactorización a un modelo OO) son ciertas y la aritmética de la ponderación cuadra (64.5→65), pero no justifica de dónde salen los subpuntajes ni cita elementos concretos como OptionalInt, arr.clone(), el método buscarLineal o el",
CASE_CODE_JAVA_034,Java,funcional,openai,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T16:03:31Z,9.123,60,82.0,25.0,32.0,40.0,"No contiene afirmaciones falsas (A es lineal/procedural y B modular/OO con los mismos textos), pero nunca nombra elementos concretos como ArrayList vs HashMap, el estado booleano, el stream de conteo o el operador ternario, y los porcentajes ponderados se presentan sin justificacion alguna.",
CASE_CODE_CS_010,C#,funcional,openai,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T16:03:41Z,5.326,37,80.0,8.0,20.0,15.0,"Las afirmaciones generales (funcionalidad casi idéntica, diferencias léxicas y estilísticas) son verdaderas, pero el texto no menciona ni un solo elemento concreto de estos archivos (arreglo con for vs. variables separadas, Convert.ToDouble vs. double.Parse, if/else vs. operador ternario, interpolac",
CASE_CODE_JAVA_003,Java,estructural,deepseek,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T16:03:49Z,14.238,59,80.0,35.0,45.0,50.0,"No hay una afirmación claramente falsa sobre las diferencias principales, pero las puntuaciones parciales se presentan sin evidencia concreta de los archivos.",
CASE_CODE_JAVA_045,Java,identico,openai,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T16:04:04Z,10.447,18,100.0,0.0,0.0,20.0,El texto es completamente genérico y se limita a enunciar que son idénticos sin mencionar ningún detalle concreto del código.,
CASE_CODE_JAVA_030,Java,funcional,openai,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T16:04:16Z,10.488,45,100.0,60.0,70.0,70.0,"El texto es correcto y explica las diferencias estructurales (condicionales vs mapas/objetos), aunque carece de detalles específicos del dominio del problema como la conversión de unidades.",
CASE_CODE_CS_015,C#,estructural,openai,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T16:04:27Z,10.453,49,100.0,25.0,20.0,25.0,"El texto es correcto en sus afirmaciones generales, pero es demasiado genérico, carece de ejemplos concretos de los códigos y no explica el razonamiento detrás de los porcentajes asignados.",
CASE_CODE_CS_010,C#,funcional,anthropic,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T16:04:39Z,42.376,89,100.0,95.0,65.0,65.0,No hay afirmaciones falsas; las diferencias señaladas son correctas.,
CASE_CODE_JAVA_060,Java,diferente,anthropic,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T16:05:22Z,12.411,83,100.0,65.0,50.0,60.0,"El texto es técnicamente correcto y resume bien las diferencias a alto nivel, pero carece de referencias concretas al código (como clases o variables) y se limita a enumerar características abstractas sin explicarlas.",
CASE_CODE_CS_041,C#,identico,anthropic,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T16:05:36Z,21.008,47,100.0,0.0,0.0,0.0,"El texto es preciso pero totalmente genérico y carece de razonamiento, sin referencias concretas a los archivos.",
CASE_CODE_CS_018,C#,funcional,openai,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T16:05:58Z,23.97,51,100.0,70.0,65.0,70.0,No se detectan afirmaciones falsas; todo lo afirmado es verificable en los archivos.,
CASE_CODE_JAVA_060,Java,diferente,deepseek,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T16:06:23Z,10.655,45,70.0,8.0,30.0,22.0,"El cálculo ponderado (0·0.4+10·0.3+5·0.2+10·0.1=5) es aritméticamente correcto y la conclusión de baja similitud es plausible, pero no se justifica ninguno de los puntajes ni se cita un solo elemento real de los archivos (Scanner/menú vs. ScheduledExecutorService, record y enum), por lo que el texto",
CASE_CODE_CS_057,C#,identico,anthropic,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T16:06:35Z,8.817,39,100.0,0.0,70.0,80.0,"El texto es correcto y explica el razonamiento del veredicto, pero es completamente genérico y serviría para cualquier par de archivos idénticos.",
CASE_CODE_CS_056,C#,diferente,anthropic,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T16:06:45Z,44.258,89,90.0,20.0,55.0,70.0,"Las afirmaciones cualitativas son correctas, pero los puntajes numéricos no son verificables en el código.",
CASE_CODE_JAVA_024,Java,diferente,anthropic,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T16:07:30Z,46.594,64,60.0,95.0,75.0,70.0,"La afirmación de que la ponderación da ≈14 es falsa: los números (2.0, 3.6, 3.0, 5.5) con los porcentajes indicados producen ≈3.03, no 14.",
CASE_CODE_CS_023,C#,estructural,gemini,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T16:08:18Z,11.668,66,78.0,20.0,35.0,35.0,"La aritmética de la ponderación es correcta y la caracterización general (clon estructural adaptado a otro dominio) es cierta, pero no cita ni una sola evidencia concreta de los archivos (cadena if/else if/else con el mismo patrón, validación con return temprano, Convert.ToDouble/ToInt32, formato :F",
CASE_CODE_JAVA_045,Java,identico,openai,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T16:08:31Z,17.308,18,100.0,10.0,0.0,0.0,"Afirmación verdadera pero genérica, sin referencias concretas a los archivos ni razonamiento.",
CASE_CODE_JAVA_044,Java,diferente,anthropic,openai,gpt-5.5-2026-04-23,gpt-5.5-2026-04-23,1,2026-08-01T16:08:49Z,7.474,82,82.0,78.0,62.0,68.0,"Las afirmaciones principales sobre los programas son correctas, aunque las puntuaciones ponderadas aparecen sin justificación verificable en los archivos.",
CASE_CODE_CS_024,C#,diferente,deepseek,anthropic,claude-opus-5,claude-opus-5,1,2026-08-01T16:08:58Z,9.032,60,65.0,12.0,35.0,28.0,"Las afirmaciones son plausibles pero no se verifican con ningun elemento concreto; ademas 'nula coincidencia funcional' y la 'estructura tipica' compartida son discutibles, pues A es un unico Main lineal mientras B usa clases, LINQ, metodos y switch expression, lo que implica estructuras muy distint",
CASE_CODE_CS_010,C#,funcional,deepseek,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T16:09:09Z,8.834,71,100.0,20.0,30.0,30.0,"El texto es correcto y detalla el cálculo matemático, pero es demasiado genérico al no mencionar ejemplos concretos de las diferencias sintácticas o léxicas entre los códigos.",
CASE_CODE_CS_024,C#,diferente,anthropic,deepseek,deepseek-v4-pro,deepseek-v4-pro,1,2026-08-01T16:09:19Z,58.911,107,100.0,95.0,90.0,90.0,"No se detectan afirmaciones falsas; las descripciones (problemas diferentes, arquitecturas lineal vs. modular con LINQ y clase propia) son exactas y verificables en los archivos.",
CASE_CODE_CS_003,C#,estructural,anthropic,gemini,gemini-3.1-pro-preview,gemini-3.1-pro-preview,1,2026-08-01T16:10:19Z,9.53,99,100.0,90.0,80.0,85.0,"El texto identifica correctamente las similitudes estructurales y las diferencias de dominio, mencionando elementos específicos como el cálculo de bono y la propiedad adicional.",
